healpix, glon, glat, ra, dec
122, 162.60949, -25.92721, 52.03125, 24.62432
123, 162.78234, -24.10103, 53.43750, 25.94448
124, 164.87922, -22.46203, 56.25000, 25.94448
125, 164.93208, -20.62880, 57.65625, 27.27961
126, 162.90695, -22.27071, 54.84375, 27.27961
127, 162.98283, -20.43658, 56.25000, 28.63099
128, 153.82823, -46.99042, 33.75000, 10.80692
129, 154.75088, -45.26583, 35.15625, 12.02470
130, 151.23274, -46.52001, 32.34375, 12.02470
131, 152.22744, -44.81815, 33.75000, 13.24801
132, 155.59551, -43.52939, 36.56250, 13.24801
133, 156.36744, -41.78200, 37.96875, 14.47751
134, 153.13946, -43.10213, 35.15625, 14.47751
135, 153.97430, -41.37298, 36.56250, 15.71386
136, 148.69368, -45.97540, 30.93750, 13.24801
137, 149.75457, -44.29740, 32.34375, 14.47751
138, 146.21749, -45.35772, 29.53125, 14.47751
139, 147.33847, -43.70439, 30.93750, 15.71386
140, 150.72895, -42.60281, 33.75000, 15.71386
141, 151.62238, -40.89281, 35.15625, 16.95776
142, 148.36991, -42.03198, 32.34375, 16.95776
143, 149.31729, -40.34179, 33.75000, 18.20996
144, 157.07119, -40.02443, 39.37500, 15.71386
145, 157.71061, -38.25740, 40.78125, 16.95776
146, 154.73669, -39.63163, 37.96875, 16.95776
147, 155.43066, -37.87887, 39.37500, 18.20996
148, 158.28892, -36.48152, 42.18750, 18.20996
149, 158.80881, -34.69735, 43.59375, 19.47122
150, 156.05960, -36.11543, 40.78125, 19.47122
151, 156.62639, -34.34194, 42.18750, 20.74238
152, 152.43965, -39.16845, 36.56250, 18.20996
153, 153.18488, -37.43063, 37.96875, 19.47122
154, 150.18540, -38.63497, 35.15625, 19.47122
155, 150.97836, -36.91253, 36.56250, 20.74238
156, 153.86160, -35.68016, 39.37500, 20.74238
157, 154.47274, -33.91775, 40.78125, 22.02431
158, 151.69972, -35.17536, 37.96875, 22.02431
159, 152.35245, -33.42423, 39.37500, 23.31796
160, 143.80989, -44.66832, 28.12500, 15.71386
161, 144.98470, -43.04019, 29.53125, 16.95776
162, 141.47574, -43.90880, 26.71875, 16.95776
163, 142.69812, -42.30607, 28.12500, 18.20996
164, 146.06771, -41.39042, 30.93750, 18.20996
165, 147.06424, -39.72043, 32.34375, 19.47122
166, 143.82716, -40.67913, 29.53125, 19.47122
167, 144.86794, -39.02948, 30.93750, 20.74238
168, 139.21912, -43.08092, 25.31250, 18.20996
169, 140.48290, -41.50350, 26.71875, 19.47122
170, 137.04328, -42.18656, 23.90625, 19.47122
171, 138.34253, -40.63406, 25.31250, 20.74238
172, 141.65249, -39.89928, 28.12500, 20.74238
173, 142.73261, -38.26982, 29.53125, 22.02431
174, 139.54731, -39.05216, 26.71875, 22.02431
175, 140.66194, -37.44250, 28.12500, 23.31796
176, 147.97895, -38.03147, 33.75000, 20.74238
177, 148.81590, -36.32464, 35.15625, 22.02431
178, 145.82490, -37.35845, 32.34375, 22.02431
179, 146.70197, -35.66720, 33.75000, 23.31796
180, 149.57857, -34.60088, 36.56250, 23.31796
181, 150.26993, -32.86104, 37.96875, 24.62432
182, 147.50251, -33.95674, 35.15625, 24.62432
183, 148.22939, -32.22796, 36.56250, 25.94448
184, 143.72744, -36.61653, 30.93750, 23.31796
185, 144.64069, -34.94059, 32.34375, 24.62432
186, 141.69029, -35.80648, 29.53125, 24.62432
187, 142.63579, -34.14534, 30.93750, 25.94448
188, 145.47555, -33.24308, 33.75000, 25.94448
189, 146.23476, -31.52489, 35.15625, 27.27961
190, 143.50141, -32.46016, 32.34375, 27.27961
191, 144.28971, -30.75183, 33.75000, 28.63099
192, 159.27249, -32.90538, 45.00000, 20.74238
193, 159.68170, -31.10608, 46.40625, 22.02431
194, 157.13336, -32.55897, 43.59375, 22.02431
195, 157.58241, -30.76702, 45.00000, 23.31796
196, 160.03779, -29.29985, 47.81250, 23.31796
197, 160.34173, -27.48709, 49.21875, 24.62432
198, 157.97500, -28.96655, 46.40625, 24.62432
199, 158.31219, -27.15797, 47.81250, 25.94448
200, 155.02076, -32.14403, 42.18750, 23.31796
201, 155.50763, -30.35955, 43.59375, 24.62432
202, 152.93905, -31.65984, 40.78125, 24.62432
203, 153.46151, -29.88277, 42.18750, 25.94448
204, 155.93489, -28.56480, 45.00000, 25.94448
205, 156.30365, -26.76022, 46.40625, 27.27961
206, 153.92141, -28.09353, 43.59375, 27.27961
207, 154.31987, -26.29257, 45.00000, 28.63099
208, 160.59412, -25.66815, 50.62500, 25.94448
209, 160.79522, -23.84337, 52.03125, 27.27961
210, 158.59465, -25.34166, 49.21875, 27.27961
