healpix, glon, glat, ra, dec
1878, 135.59521, 48.53684, 171.56250, 66.44354
1879, 131.77277, 48.08979, 177.00000, 67.93493
1880, 141.90646, 47.28953, 161.47059, 64.94808
1881, 138.41295, 47.31764, 165.93750, 66.44354
1882, 140.91982, 45.87404, 160.31250, 66.44354
1883, 137.54384, 45.90348, 165.00000, 67.93493
1884, 134.79554, 47.12841, 171.00000, 67.93493
1885, 131.08558, 46.67465, 176.78571, 69.42255
1886, 134.03973, 45.71555, 170.35714, 69.42255
1887, 130.43560, 45.25846, 176.53846, 70.90667
1888, 151.60599, 42.87436, 144.47368, 61.94384
1889, 148.90470, 43.42695, 147.50000, 63.44828
1890, 150.26106, 41.42924, 142.50000, 63.44828
1891, 147.66462, 41.97408, 145.58824, 64.94808
1892, 146.07107, 43.88762, 150.88235, 64.94808
1893, 143.09757, 44.23565, 154.68750, 66.44354
1894, 144.94145, 42.43227, 149.06250, 66.44354
1895, 142.08216, 42.78321, 153.00000, 67.93493
1896, 148.94762, 39.95315, 140.29412, 64.94808
1897, 146.45665, 40.49283, 143.43750, 66.44354
1898, 147.65505, 38.44473, 137.81250, 66.44354
1899, 145.27057, 38.98137, 141.00000, 67.93493
1900, 143.84452, 40.95169, 147.00000, 67.93493
1901, 141.09993, 41.30938, 151.07143, 69.42255
1902, 142.77078, 39.44368, 144.64286, 69.42255
1903, 140.14241, 39.81177, 148.84615, 70.90667
1904, 139.97968, 44.44452, 159.00000, 67.93493
1905, 136.71824, 44.48006, 163.92857, 69.42255
1906, 139.07953, 42.99988, 157.50000, 69.42255
1907, 135.93077, 43.04654, 162.69231, 70.90667
1908, 133.32317, 44.29806, 169.61538, 70.90667
1909, 129.81917, 43.84130, 176.25000, 72.38756
1910, 132.64163, 42.87556, 168.75000, 72.38756
1911, 129.23302, 42.42316, 175.90909, 73.86550
1912, 138.21272, 41.53849, 155.76923, 70.90667
1913, 135.17617, 41.60164, 161.25000, 72.38756
1914, 137.37221, 40.05801, 153.75000, 72.38756
1915, 134.44900, 40.14345, 159.54545, 73.86550
1916, 131.99120, 41.44733, 167.72727, 73.86550
1917, 128.67423, 41.00396, 175.50000, 75.34073
1918, 131.36805, 40.01230, 166.50000, 75.34073
1919, 128.14019, 39.58351, 175.00000, 76.81353
1920, 161.94001, 31.27700, 119.34783, 55.87335
1921, 160.17990, 32.06651, 120.68182, 57.39952
1922, 160.05498, 29.86535, 116.59091, 57.39952
1923, 158.34590, 30.62523, 117.85714, 58.91978
1924, 158.37830, 32.83712, 122.14286, 58.91978
1925, 156.53040, 33.58682, 123.75000, 60.43444
1926, 156.60095, 31.36767, 119.25000, 60.43444
1927, 154.81588, 32.09103, 120.78947, 61.94384
1928, 158.15402, 28.41947, 113.57143, 58.91978
1929, 156.49467, 29.14961, 114.75000, 60.43444
1930, 156.22329, 26.94261, 110.25000, 60.43444
1931, 154.61141, 27.64269, 111.31579, 61.94384
1932, 154.80502, 29.86363, 116.05263, 61.94384
1933, 153.08141, 30.56028, 117.50000, 63.44828
1934, 152.97470, 28.32776, 112.50000, 63.44828
1935, 151.31013, 28.99690, 113.82353, 64.94808
1936, 154.63069, 34.31305, 125.52632, 61.94384
1937, 152.67286, 35.01258, 127.50000, 63.44828
1938, 152.98573, 32.79326, 122.50000, 63.44828
1939, 151.10476, 33.47170, 124.41176, 64.94808
1940, 150.64959, 35.68123, 129.70588, 64.94808
1941, 148.55237, 36.31352, 132.18750, 66.44354
1942, 149.16617, 34.12288, 126.56250, 66.44354
1943, 147.16187, 34.74219, 129.00000, 67.93493
1944, 151.31954, 31.23797, 119.11765, 64.94808
1945, 149.51432, 31.89463, 120.93750, 66.44354
1946, 149.61417, 29.64898, 115.31250, 66.44354
1947, 147.88252, 30.28252, 117.00000, 67.93493
1948, 147.65965, 32.52755, 123.00000, 67.93493
1949, 145.74808, 33.13307, 125.35714, 69.42255
1950, 146.10994, 30.89557, 118.92857, 69.42255
1951, 144.28991, 31.48543, 121.15385, 70.90667
1952, 154.24671, 25.43930, 106.57895, 61.94384
1953, 152.67881, 26.10884, 107.50000, 63.44828
1954, 152.20547, 23.91593, 102.50000, 63.44828
1955, 150.67644, 24.55451, 103.23529, 64.94808
1956, 151.09133, 26.76418, 108.52941, 64.94808
1957, 149.48196, 27.40470, 109.68750, 66.44354
1958, 149.13265, 25.17933, 104.06250, 66.44354
1959, 147.57254, 25.79000, 105.00000, 67.93493
1960, 150.07738, 22.38183, 97.94118, 64.94808
1961, 148.57988, 22.98943, 98.43750, 66.44354
1962, 147.83607, 20.85068, 92.81250, 66.44354
1963, 146.35984, 21.42839, 93.00000, 67.93493
1964, 147.07173, 23.58335, 99.00000, 67.93493
1965, 145.55201, 24.16333, 99.64286, 69.42255
1966, 144.87574, 21.99226, 93.21429, 69.42255
1967, 143.38335, 22.54204, 93.46154, 70.90667
1968, 147.84795, 28.02965, 111.00000, 67.93493
1969, 146.18598, 28.63810, 112.50000, 69.42255
1970, 145.99423, 26.38608, 106.07143, 69.42255
1971, 144.39545, 26.96702, 107.30769, 70.90667
1972, 144.49190, 29.22879, 114.23077, 70.90667
1973, 142.76041, 29.79997, 116.25000, 72.38756
1974, 142.77332, 27.53215, 108.75000, 72.38756
1975, 141.12415, 28.08054, 110.45455, 73.86550
1976, 144.01970, 24.72906, 100.38462, 70.90667
1977, 142.47356, 25.28024, 101.25000, 72.38756
1978, 141.88225, 23.07746, 93.75000, 72.38756
1979, 140.37201, 23.59824, 94.09091, 73.86550
1980, 140.91209, 25.81653, 102.27273, 73.86550
1981, 139.33333, 26.33754, 103.50000, 75.34073
1982, 138.85217, 24.10411, 94.50000, 75.34073
1983, 137.32222, 24.59481, 95.00000, 76.81353
1984, 146.37128, 36.90217, 135.00000, 67.93493
1985, 144.09473, 37.43732, 138.21429, 69.42255
1986, 145.08215, 35.32338, 131.78571, 69.42255
1987, 142.91530, 35.85776, 135.00000, 70.90667
1988, 141.70935, 37.90535, 141.92308, 70.90667
1989, 139.19994, 38.28714, 146.25000, 72.38756
1990, 140.64716, 36.33302, 138.75000, 72.38756
1991, 138.26078, 36.73123, 143.18182, 73.86550
1992, 143.77038, 33.70608, 128.07692, 70.90667
1993, 141.71507, 34.23934, 131.25000, 72.38756
1994, 142.41410, 32.04829, 123.75000, 72.38756
1995, 140.47175, 32.57855, 126.81818, 73.86550
1996, 139.56764, 34.72220, 135.00000, 73.86550
1997, 137.30973, 35.13857, 139.50000, 75.34073
1998, 138.44866, 33.06770, 130.50000, 75.34073
1999, 136.32586, 33.50224, 135.00000, 76.81353
2000, 136.54998, 38.55520, 151.36364, 73.86550
2001, 133.74328, 38.66924, 157.50000, 75.34073
2002, 135.73628, 37.02564, 148.50000, 75.34073
2003, 133.05187, 37.17508, 155.00000, 76.81353
2004, 130.76827, 38.56883, 165.00000, 76.81353
2005, 127.62850, 38.16150, 174.37500, 78.28415
2006, 130.18757, 37.11443, 163.12500, 78.28415
2007, 127.13693, 36.73739, 173.57143, 79.75283
2008, 134.91829, 35.46325, 145.00000, 76.81353
2009, 132.36537, 35.65526, 151.87500, 78.28415
2010, 134.07773, 33.85978, 140.62500, 78.28415
2011, 131.67006, 34.10134, 147.85714, 79.75283
2012, 129.62060, 35.64521, 160.71429, 79.75283
2013, 126.66328, 35.31032, 172.50000, 81.21982
2014, 129.05976, 34.15489, 157.50000, 81.21982
2015, 126.20522, 33.87875, 171.00000, 82.68538
2016, 140.98459, 30.34916, 118.63636, 73.86550
2017, 139.15513, 30.87258, 121.50000, 75.34073
2018, 139.44292, 28.61090, 112.50000, 75.34073
2019, 137.72267, 29.12122, 115.00000, 76.81353
2020, 137.25916, 31.36423, 125.00000, 76.81353
2021, 135.27843, 31.81407, 129.37500, 78.28415
2022, 135.95327, 29.60819, 118.12500, 78.28415
2023, 134.11940, 30.06590, 122.14286, 79.75283
2024, 137.73462, 26.84278, 105.00000, 76.81353
2025, 136.11212, 27.33158, 106.87500, 78.28415
2026, 135.78157, 25.07006, 95.62500, 78.28415
2027, 134.22941, 25.52961, 96.42857, 79.75283
2028, 134.46001, 27.80287, 109.28571, 79.75283
2029, 132.76881, 28.25462, 112.50000, 81.21982
2030, 132.66457, 25.97323, 97.50000, 81.21982
2031, 131.08510, 26.40070, 99.00000, 82.68538
2032, 133.18635, 32.20424, 135.00000, 79.75283
2033, 130.94350, 32.50065, 142.50000, 81.21982
2034, 132.19671, 30.48281, 127.50000, 81.21982
2035, 130.14456, 30.83412, 135.00000, 82.68538
2036, 128.49228, 32.63279, 153.00000, 82.68538
2037, 125.75973, 32.43966, 168.75000, 84.14973
2038, 127.89233, 31.05948, 146.25000, 84.14973
2039, 125.32154, 30.98631, 165.00000, 85.61313
2040, 131.02192, 28.68247, 117.00000, 82.68538
2041, 129.18726, 29.07517, 123.75000, 84.14973
2042, 129.48722, 26.81177, 101.25000, 84.14973
2043, 127.86231, 27.20597, 105.00000, 85.61313
2044, 127.19525, 29.39738, 135.00000, 85.61313
2045, 124.87575, 29.49959, 157.50000, 87.07582
2046, 126.18475, 27.58044, 112.50000, 87.07582
2047, 124.33263, 27.89906, 135.00000, 88.53803
2048, 358.29134, 49.72317, 225.00000, 1.19375
2049, 1.11093, 49.47322, 226.40625, 2.38802
2050, 358.15988, 51.56569, 223.59375, 2.38802
2051, 1.09174, 51.31732, 225.00000, 3.58332
2052, 3.89866, 49.15895, 227.81250, 3.58332
2053, 6.64877, 48.78364, 229.21875, 4.78019
2054, 3.98847, 51.00181, 226.40625, 4.78019
2055, 6.84345, 50.62260, 227.81250, 5.97916
2056, 358.02314, 53.40795, 222.18750, 3.58332
2057, 1.07964, 53.16107, 223.59375, 4.78019
2058, 357.88318, 55.24990, 220.78125, 4.78019
2059, 1.07858, 55.00433, 222.18750, 5.97916
2060, 4.09719, 52.84385, 225.00000, 5.97916
2061, 7.06816, 52.45993, 226.40625, 7.18076
2062, 4.23056, 54.68481, 223.59375, 7.18076
2063, 7.33023, 54.29522, 225.00000, 8.38554
2064, 9.35651, 48.35078, 230.62500, 5.97916
2065, 12.01820, 47.86403, 232.03125, 7.18076
2066, 9.65127, 50.18337, 229.21875, 7.18076
2067, 12.40773, 49.68799, 230.62500, 8.38554
2068, 14.63112, 47.32712, 233.43750, 8.38554
2069, 17.19355, 46.74388, 234.84375, 9.59407
2070, 15.10982, 49.14043, 232.03125, 9.59407
2071, 17.75562, 48.54475, 233.43750, 10.80692
2072, 9.98632, 52.01324, 227.81250, 8.38554
2073, 12.84690, 51.50789, 229.21875, 9.59407
2074, 10.37038, 53.83975, 226.40625, 9.59407
2075, 13.34555, 53.32283, 227.81250, 10.80692
2076, 15.64650, 50.94812, 230.62500, 10.80692
2077, 18.38304, 50.33824, 232.03125, 12.02470
2078, 16.25192, 52.74899, 229.21875, 12.02470
2079, 19.08724, 52.12288, 230.62500, 13.24801
2080, 357.74244, 57.09149, 219.37500, 5.97916
2081, 1.09334, 56.84695, 220.78125, 7.18076
2082, 357.60390, 58.93268, 217.96875, 7.18076
2083, 1.12977, 58.68878, 219.37500, 8.38554
2084, 4.39551, 56.52438, 222.18750, 8.38554
2085, 7.63849, 56.12792, 223.59375, 9.59407
2086, 4.60052, 58.36219, 220.78125, 9.59407
2087, 8.00375, 57.95740, 222.18750, 10.80692
2088, 357.47123, 60.77340, 216.56250, 8.38554
2089, 1.19514, 60.52960, 217.96875, 9.59407
2090, 357.34907, 62.61361, 215.15625, 9.59407
2091, 1.29862, 62.36917, 216.56250, 10.80692
2092, 4.85612, 60.19779, 219.37500, 10.80692
2093, 8.43933, 59.78286, 220.78125, 12.02470
2094, 5.17554, 62.03059, 217.96875, 12.02470
2095, 8.96186, 61.60329, 219.37500, 13.24801
2096, 10.81391, 55.66211, 225.00000, 10.80692
2097, 13.91547, 55.13170, 226.40625, 12.02470
2098, 11.32963, 57.47933, 223.59375, 12.02470
2099, 14.57086, 56.93318, 225.00000, 13.24801
2100, 16.93887, 54.54164, 227.81250, 13.24801
2101, 19.88170, 53.89692, 229.21875, 14.47751
2102, 17.72265, 56.32432, 226.40625, 14.47751
2103, 20.78245, 55.65821, 227.81250, 15.71386
2104, 11.93310, 59.29022, 222.18750, 13.24801
2105, 15.32901, 58.72559, 223.59375, 14.47751
2106, 12.64365, 61.09325, 220.78125, 14.47751
2107, 16.21112, 60.50688, 222.18750, 15.71386
2108, 18.62169, 58.09491, 225.00000, 15.71386
2109, 21.80855, 57.40414, 226.40625, 16.95776
2110, 19.65835, 59.85075, 223.59375, 16.95776
2111, 22.98287, 59.13149, 225.00000, 18.20996
2112, 19.70460, 46.11814, 236.25000, 10.80692
2113, 22.16422, 45.45372, 237.65625, 12.02470
2114, 20.34423, 47.90499, 234.84375, 12.02470
2115, 22.87568, 47.22519, 236.25000, 13.24801
2116, 24.57301, 44.75438, 239.06250, 13.24801
2117, 26.93221, 44.02385, 240.46875, 14.47751
2118, 25.35078, 46.50934, 237.65625, 14.47751
2119, 27.77103, 45.76133, 239.06250, 15.71386
2120, 21.05561, 49.68257, 233.43750, 13.24801
2121, 23.66439, 48.98540, 234.84375, 14.47751
2122, 21.85063, 51.44911, 232.03125, 14.47751
2123, 24.54248, 50.73227, 233.43750, 15.71386
2124, 26.21043, 48.25094, 236.25000, 15.71386
2125, 28.69559, 47.48331, 237.65625, 16.95776
2126, 27.16421, 49.97683, 234.84375, 16.95776
2127, 29.71812, 49.18715, 236.25000, 18.20996
2128, 29.24357, 43.26575, 241.87500, 15.71386
2129, 31.50925, 42.48363, 243.28125, 16.95776
2130, 30.13849, 44.98498, 240.46875, 16.95776
2131, 32.45570, 44.18397, 241.87500, 18.20996
2132, 33.73179, 41.68094, 244.68750, 18.20996
2133, 35.91398, 40.86103, 246.09375, 19.47122
2134, 34.72560, 43.36190, 243.28125, 19.47122
2135, 36.95139, 42.52224, 244.68750, 20.74238
2136, 31.12235, 46.68651, 239.06250, 18.20996
2137, 33.49371, 45.86441, 240.46875, 19.47122
2138, 32.20722, 48.36745, 237.65625, 19.47122
2139, 34.63508, 47.52178, 239.06250, 20.74238
2140, 35.81307, 45.02074, 241.87500, 20.74238
2141, 38.08416, 44.15911, 243.28125, 22.02431
2142, 37.00572, 46.65405, 240.46875, 22.02431
2143, 39.32345, 45.76798, 241.87500, 23.31796
2144, 22.74321, 53.20252, 230.62500, 15.71386
2145, 25.52408, 52.46336, 232.03125, 16.95776
2146, 23.74971, 54.94024, 229.21875, 16.95776
2147, 26.62561, 54.17572, 230.62500, 18.20996
2148, 28.22622, 51.68422, 233.43750, 18.20996
2149, 30.85254, 50.86974, 234.84375, 19.47122
2150, 29.41272, 53.36979, 232.03125, 19.47122
2151, 32.11473, 52.52740, 233.43750, 20.74238
2152, 24.88943, 56.65919, 227.81250, 18.20996
2153, 27.86622, 55.86582, 229.21875, 19.47122
2154, 26.18520, 58.35559, 226.40625, 19.47122
2155, 29.26824, 57.52935, 227.81250, 20.74238
2156, 30.74241, 55.02958, 230.62500, 20.74238
2157, 33.52276, 54.15574, 232.03125, 22.02431
2158, 32.23680, 56.65878, 229.21875, 22.02431
2159, 35.09707, 55.74956, 230.62500, 23.31796
2160, 33.40672, 50.02437, 236.25000, 20.74238
2161, 35.89306, 49.15237, 237.65625, 22.02431
2162, 34.73623, 51.65325, 234.84375, 22.02431
2163, 37.28240, 50.75184, 236.25000, 23.31796
2164, 38.31631, 48.25782, 239.06250, 23.31796
2165, 40.68152, 47.34460, 240.46875, 24.62432
2166, 39.75892, 49.82743, 237.65625, 24.62432
2167, 42.17174, 48.88404, 239.06250, 25.94448
2168, 36.21299, 53.24934, 233.43750, 23.31796
2169, 38.81945, 52.31510, 234.84375, 24.62432
2170, 37.85624, 54.80702, 232.03125, 24.62432
2171, 40.52214, 53.83614, 233.43750, 25.94448
2172, 41.34894, 51.35745, 236.25000, 25.94448
2173, 43.80854, 50.38059, 237.65625, 27.27961
2174, 43.10301, 52.84157, 234.84375, 27.27961
2175, 45.60724, 51.82762, 236.25000, 28.63099
2176, 357.24336, 64.45324, 213.75000, 10.80692
2177, 1.45197, 64.20716, 215.15625, 12.02470
2178, 357.16191, 66.29221, 212.34375, 12.02470
2179, 1.67053, 66.04315, 213.75000, 13.24801
2180, 5.57566, 63.85986, 216.56250, 13.24801
2181, 9.59239, 63.41739, 217.96875, 14.47751
2182, 6.07833, 65.68462, 215.15625, 14.47751
2183, 10.35791, 65.22348, 216.56250, 15.71386
2184, 357.11513, 68.13041, 210.93750, 13.24801
2185, 1.97471, 67.87657, 212.34375, 14.47751
2186, 357.11727, 69.96769, 209.53125, 14.47751
2187, 2.39222, 69.70663, 210.93750, 15.71386
2188, 6.71233, 67.50356, 213.75000, 15.71386
2189, 11.29352, 67.01932, 215.15625, 16.95776
2190, 7.51632, 69.31489, 212.34375, 16.95776
2191, 12.44555, 68.80189, 213.75000, 18.20996
2192, 13.48543, 62.88650, 219.37500, 15.71386
2193, 17.24341, 62.27441, 220.78125, 16.95776
2194, 14.48904, 64.66747, 217.96875, 16.95776
2195, 18.45856, 64.02485, 219.37500, 18.20996
2196, 20.85991, 61.58853, 222.18750, 18.20996
2197, 24.33292, 60.83626, 223.59375, 19.47122
2198, 22.25984, 63.30406, 220.78125, 19.47122
2199, 25.89179, 62.51345, 222.18750, 20.74238
2200, 15.69363, 66.43288, 216.56250, 18.20996
2201, 19.89769, 65.75385, 217.96875, 19.47122
2202, 17.14988, 68.17838, 215.15625, 19.47122
2203, 21.61275, 67.45574, 216.56250, 20.74238
2204, 23.89934, 64.99196, 219.37500, 20.74238
2205, 27.69937, 64.15676, 220.78125, 22.02431
2206, 25.82921, 66.64535, 217.96875, 22.02431
2207, 29.80352, 65.75823, 219.37500, 23.31796
2208, 357.18842, 71.80381, 208.12500, 15.71386
2209, 2.96168, 71.53219, 209.53125, 16.95776
2210, 357.35771, 73.63841, 206.71875, 16.95776
2211, 3.73838, 73.35158, 208.12500, 18.20996
2212, 8.54328, 71.11610, 210.93750, 18.20996
2213, 13.87621, 70.56703, 212.34375, 19.47122
2214, 9.86752, 72.90359, 209.53125, 19.47122
2215, 15.67035, 72.30890, 210.93750, 20.74238
2216, 357.66904, 75.47092, 205.31250, 18.20996
2217, 4.80418, 75.16228, 206.71875, 19.47122
2218, 358.19164, 77.30038, 203.90625, 19.47122
2219, 6.28500, 76.96030, 205.31250, 20.74238
2220, 11.59596, 74.67203, 208.12500, 20.74238
2221, 17.94561, 74.01909, 209.53125, 22.02431
2222, 13.88675, 76.41329, 206.71875, 22.02431
2223, 20.86735, 75.68525, 208.12500, 23.31796
2224, 18.92409, 69.89809, 213.75000, 20.74238
2225, 23.66977, 69.12299, 215.15625, 22.02431
2226, 21.10373, 71.58392, 212.34375, 22.02431
2227, 26.15270, 70.74554, 213.75000, 23.31796
2228, 28.11197, 68.25526, 216.56250, 23.31796
2229, 32.26116, 67.30770, 217.96875, 24.62432
2230, 30.82394, 69.81000, 215.15625, 24.62432
2231, 35.13881, 68.79226, 216.56250, 25.94448
2232, 23.80491, 73.22462, 210.93750, 23.31796
2233, 29.16760, 72.30977, 212.34375, 24.62432
2234, 27.18142, 74.80424, 209.53125, 24.62432
2235, 32.84607, 73.79718, 210.93750, 25.94448
2236, 34.05656, 71.29424, 213.75000, 25.94448
2237, 38.51171, 70.19547, 215.15625, 27.27961
2238, 37.91546, 72.68793, 212.34375, 27.27961
2239, 42.46026, 71.49665, 213.75000, 28.63099
2240, 27.66401, 60.02481, 225.00000, 20.74238
2241, 30.85767, 59.16109, 226.40625, 22.02431
2242, 29.35778, 61.66110, 223.59375, 22.02431
2243, 32.66459, 60.75464, 225.00000, 23.31796
2244, 33.92049, 58.25165, 227.81250, 23.31796
2245, 36.86062, 57.30260, 229.21875, 24.62432
2246, 35.82139, 59.80122, 226.40625, 24.62432
2247, 38.83893, 58.80741, 227.81250, 25.94448
2248, 31.30404, 63.25734, 222.18750, 23.31796
2249, 34.72356, 62.30217, 223.59375, 24.62432
2250, 33.54658, 64.80466, 220.78125, 24.62432
2251, 37.07369, 63.79409, 222.18750, 25.94448
2252, 37.97072, 61.29906, 225.00000, 25.94448
2253, 41.05978, 60.25509, 226.40625, 27.27961
2254, 40.40270, 62.73502, 223.59375, 27.27961
2255, 43.55261, 61.63507, 225.00000, 28.63099
2256, 39.68719, 56.31961, 230.62500, 25.94448
2257, 42.40991, 55.30794, 232.03125, 27.27961
2258, 41.72889, 57.77926, 229.21875, 27.27961
2259, 44.50335, 56.72228, 230.62500, 28.63099
2260, 45.03876, 54.27241, 233.43750, 28.63099
2261, 47.58379, 53.21747, 234.84375, 30.00000
2262, 47.17449, 55.64146, 232.03125, 30.00000
2263, 49.75430, 54.54135, 233.43750, 31.38817
2264, 44.00574, 59.17667, 227.81250, 28.63099
2265, 46.82367, 58.06954, 229.21875, 30.00000
2266, 46.54267, 60.50094, 226.40625, 30.00000
2267, 49.39167, 59.33859, 227.81250, 31.38817
2268, 49.52840, 56.93883, 230.62500, 31.38817
2269, 52.13427, 55.78915, 232.03125, 32.79717
2270, 52.11762, 58.15323, 229.21875, 32.79717
2271, 54.73756, 56.94944, 230.62500, 34.22887
2272, 36.13561, 66.29200, 219.37500, 25.94448
2273, 39.75812, 65.21865, 220.78125, 27.27961
2274, 39.12712, 67.70559, 217.96875, 27.27961
2275, 42.82260, 66.56158, 219.37500, 28.63099
2276, 43.15357, 64.09690, 222.18750, 28.63099
2277, 46.34725, 62.93482, 223.59375, 30.00000
2278, 46.25971, 65.37016, 220.78125, 30.00000
2279, 49.47176, 64.13975, 222.18750, 31.38817
2280, 42.58065, 69.02844, 216.56250, 28.63099
2281, 46.31250, 67.80570, 217.96875, 30.00000
2282, 46.55431, 70.23981, 215.15625, 30.00000
2283, 50.26742, 68.93069, 216.56250, 31.38817
2284, 49.75428, 66.53771, 219.37500, 31.38817
2285, 52.94915, 65.23304, 220.78125, 32.79717
2286, 53.66211, 67.57989, 217.96875, 32.79717
2287, 56.79281, 66.19581, 219.37500, 34.22887
2288, 49.36373, 61.73940, 225.00000, 31.38817
2289, 52.22631, 60.51668, 226.40625, 32.79717
2290, 52.48985, 62.87748, 223.59375, 32.79717
2291, 55.34251, 61.58935, 225.00000, 34.22887
2292, 54.95669, 59.27185, 227.81250, 34.22887
2293, 57.57496, 58.00940, 229.21875, 35.68533
2294, 58.05557, 60.28040, 226.40625, 35.68533
2295, 60.65235, 58.95487, 227.81250, 37.16890
2296, 55.93580, 63.89874, 222.18750, 34.22887
2297, 58.74845, 62.54057, 223.59375, 35.68533
2298, 59.70621, 64.78510, 220.78125, 35.68533
2299, 62.44218, 63.35302, 222.18750, 37.16890
2300, 61.41721, 61.16324, 225.00000, 37.16890
2301, 63.96861, 59.77055, 226.40625, 38.68219
2302, 65.03480, 61.90368, 223.59375, 38.68219
2303, 67.51339, 60.44030, 225.00000, 40.22818
2304, 38.05885, 40.02716, 247.50000, 20.74238
2305, 40.16960, 39.18249, 248.90625, 22.02431
2306, 39.13653, 41.66834, 246.09375, 22.02431
2307, 41.28463, 40.80347, 247.50000, 23.31796
2308, 42.24957, 38.33011, 250.31250, 23.31796
2309, 44.30216, 37.47303, 251.71875, 24.62432
2310, 43.39944, 39.93078, 248.90625, 24.62432
2311, 45.48480, 39.05334, 250.31250, 25.94448
2312, 40.31092, 43.28298, 244.68750, 23.31796
2313, 42.49747, 42.39569, 246.09375, 24.62432
2314, 41.59282, 44.86716, 243.28125, 24.62432
2315, 43.81856, 43.95503, 244.68750, 25.94448
2316, 44.64806, 41.50049, 247.50000, 25.94448
2317, 46.76701, 40.60050, 248.90625, 27.27961
2318, 46.00547, 43.03490, 246.09375, 27.27961
2319, 48.15845, 42.10994, 247.50000, 28.63099
2320, 46.33090, 36.61418, 253.12500, 25.94448
2321, 48.33932, 35.75647, 254.53125, 27.27961
2322, 47.54463, 38.17415, 251.71875, 27.27961
2323, 49.58288, 37.29615, 253.12500, 28.63099
2324, 50.33105, 34.90274, 255.93750, 28.63099
2325, 52.30972, 34.05582, 257.34375, 30.00000
2326, 51.60357, 36.42220, 254.53125, 30.00000
2327, 53.61074, 35.55518, 255.93750, 31.38817
2328, 48.85870, 39.69877, 250.31250, 28.63099
2329, 50.92756, 38.79826, 251.71875, 30.00000
2330, 50.28241, 41.18324, 248.90625, 30.00000
2331, 52.38233, 40.25780, 250.31250, 31.38817
2332, 52.97805, 37.90189, 253.12500, 31.38817
2333, 55.01470, 37.01253, 254.53125, 32.79717
2334, 54.46320, 39.33655, 251.71875, 32.79717
2335, 56.53005, 38.42236, 253.12500, 34.22887
2336, 42.99397, 46.41639, 241.87500, 25.94448
2337, 45.25909, 45.47674, 243.28125, 27.27961
2338, 44.52702, 47.92548, 240.46875, 27.27961
2339, 46.83100, 46.95536, 241.87500, 28.63099
2340, 47.48235, 44.52900, 244.68750, 28.63099
2341, 49.66931, 43.57642, 246.09375, 30.00000
2342, 49.08998, 45.97711, 243.28125, 30.00000
2343, 51.31023, 44.99400, 244.68750, 31.38817
2344, 46.20543, 49.38842, 239.06250, 28.63099
2345, 48.54686, 48.38462, 240.46875, 30.00000
2346, 48.04328, 50.79830, 237.65625, 30.00000
2347, 50.41954, 49.75736, 239.06250, 31.38817
2348, 50.84002, 47.37268, 241.87500, 31.38817
2349, 53.09208, 46.35588, 243.28125, 32.79717
2350, 52.74428, 48.70829, 240.46875, 32.79717
2351, 55.02567, 47.65436, 241.87500, 34.22887
2352, 51.82551, 42.62210, 247.50000, 31.38817
2353, 53.95654, 41.66906, 248.90625, 32.79717
2354, 53.49805, 44.00915, 246.09375, 32.79717
2355, 55.65969, 43.02557, 247.50000, 34.22887
2356, 56.06797, 40.72023, 250.31250, 34.22887
2357, 58.16545, 39.77846, 251.71875, 35.68533
2358, 57.80143, 42.04617, 248.90625, 35.68533
2359, 59.92959, 41.07377, 250.31250, 37.16890
2360, 55.31015, 45.33732, 244.68750, 34.22887
2361, 57.50128, 44.31999, 246.09375, 35.68533
2362, 57.27174, 46.59864, 243.28125, 35.68533
2363, 59.49045, 45.54406, 244.68750, 37.16890
2364, 59.67252, 43.30675, 247.50000, 37.16890
2365, 61.83094, 42.30035, 248.90625, 38.68219
2366, 61.68970, 44.49337, 246.09375, 38.68219
2367, 63.87743, 43.44923, 247.50000, 40.22818
2368, 54.27904, 33.21852, 258.75000, 31.38817
2369, 56.24277, 32.39366, 260.15625, 32.79717
2370, 55.60851, 34.69792, 257.34375, 32.79717
2371, 57.60105, 33.85326, 258.75000, 34.22887
2372, 58.20474, 31.58409, 261.56250, 34.22887
2373, 60.16888, 30.79269, 262.96875, 35.68533
2374, 59.59265, 33.02404, 260.15625, 35.68533
2375, 61.58771, 32.21319, 261.56250, 37.16890
2376, 57.04207, 36.13303, 255.93750, 34.22887
2377, 59.06483, 35.26623, 257.34375, 35.68533
2378, 58.58799, 37.51809, 254.53125, 35.68533
2379, 60.64224, 36.62655, 255.93750, 37.16890
2380, 61.08776, 34.41499, 258.75000, 37.16890
2381, 63.11581, 33.58221, 260.15625, 38.68219
2382, 62.69816, 35.75060, 257.34375, 38.68219
2383, 64.76133, 34.89311, 258.75000, 40.22818
2384, 62.13928, 30.02240, 264.37500, 37.16890
2385, 64.12018, 29.27626, 265.78125, 38.68219
2386, 63.59081, 31.42364, 262.96875, 38.68219
2387, 65.60677, 30.65845, 264.37500, 40.22818
2388, 66.11609, 28.55740, 267.18750, 40.22818
2389, 68.13180, 27.86912, 268.59375, 41.81031
2390, 67.64075, 29.92079, 265.78125, 41.81031
2391, 69.89189, 28.23986, 268.54839, 43.40686
2392, 65.15417, 32.77085, 261.56250, 40.22818
2393, 67.20833, 31.98395, 262.96875, 41.81031
2394, 66.83764, 34.05701, 260.15625, 41.81031
